kalimat,kelas
Biografi Abraham Lincoln Presiden ke 16 Amerika Serikat - Biografi Tokoh Dunia Lengkap.,nama
Biografi Abraham Lincoln Presiden ke 16 Amerika Serikat.,nama
Biografi Abraham Lincoln Presiden ke 16 Amerika Serikat.,nama
Abraham Lincoln adalah seorang pelopor yang menantang adanya perbudakan di Amerika.,nama
Ia merupakan Presiden Amerika Serikat yang ke-16.,other
Beliau dikenang jasa-jasanya karena telah menghapus perbudakan di Amerika  serta mempertahankan persatuan bangsa  dan menghapuskan perbudakan.,other
Nama Lengkap : Abraham Lincoln.,nama
Tanggal Lahir : 12 Februari 1809.,ttl
Tempat Lahir : Hodgenville  Kentucky  Amerika Serikat.,ttl
Kewarganegaraan : Amerika Serikat.,other
Meninggal : 15 April 1865.,other
Abraham Lincoln lahir pada 12 Februari 1809  di sebuah gubuk kecil di Kentucky  Amerika Serikat.,ttl
Orang tuanya miskin dan tidak berpendidikan.,other
Ayahnya bekerja sebagai seorang petani.,other
Lincoln sendiri hanya mengecap pendidikan selama kira-kira setahun  tetapi dalam waktu singkat ia dapat membaca  menulis dan berhitung.,other
Kehidupannya penuh dengan kesulitan  namun beliau telah mengenal apa itu kemerdekaan dan perdamaian saat kecil.,other
Beliau yakin bahwa semua orang memiliki hak untuk hidup merdeka dan damai.,other
Lincoln memiliki kekurangan dalam hal bicara yaitu jika berbicara ia tersendat-sendat atau biasa disebut gagap.,nama
Ibunya khawatir akan masa depannya karena kegagapannya ini.,other
Walau begitu Lincoln tumbuh menjadi pemuda yang sangat �sadar akan kebenaran.,nama
Pada tahun 1828  ketika ia menyewa kapal angkut untuk mengantarkan barang ke pelabuhan di New Orleans untuk pertama kalinya ia melihat penjualan budak-budak.,other
Ia berkata kepada dirinya sendiri bahwa suatu saat ia harus bisa menghapus perbudakan ini.,other
Di Amerika sendiri ada perbedaan besar dalam hal filosofi  ekonomi  dan politik antara wilayah Utara dengan Selatan.,other
Orang wilayah Utara lebih modern pemikirannya  namun mereka miskin.,other
Sedangkan orang wilayah Selatan terdiri dari kaum bangsawan dan kaya-raya  mereka terdiri dari tuan tanah yang sangat mengandalkan budak berkulit hitam untuk mengolah lahannya.,other
Suatu hari ketika ia sedang beribadah di gereja  ia mendengar pendeta berkata  �Allah memberi peluang yang sama kepada semua manusia.� Lincoln tertegun mendengar perkataan pendeta tersebut tersebut  ia pun terksean.,other
Mulai saat itu Lincoln mempunyai kemauan untuk melatih bicaranya yang gagap menjadi lancar agar bisa membuat orang terpesona  karena dari pandai berorasi itulah ide dan pemikirannya bisa sampai dan mendapat dukungan orang banyak terutama tentang kebenaran.,other
Maka setiap kali ada orang berpidato di gereja atau di sosial masyarakat  ia selalu memperhatikan dan mempelajarinya.,other
Baca juga : .,other
Pada saat muda  Abraham Lincoln bekerja dalam berbagai bidang hukum.,nama
Ia pernah bekerja sebagai pembelah kayu pagar  menjadi tentara  menjadi kelasi di kapal-kapal sungai  juru tulis  mengurus kedai  kepala kantor pos  dan akhirnya menjadi pengacara.,other
Saat ia tumbuh dewasa ia berusaha keras untuk menambah pengetahuannya.,other
Ia memanfaatkan waktu dengan baik dengan membaca semua buku yang dapat dibacanya  akhirnya ia berhasil menjadi ahli hukum pada usia 28 tahun.,other
Saat Lincoln menjadi pengacara ia berhasil menjadi pengacara terkenal sesuai dengan keinginannya.,nama
Ia sering memenangkan kasus yang membela kaum lemah dan kaum yang benar.,other
Ia menjadi pribadi yang sangat dinamis  cerdas serta sangat lancar dalam berbicara berbeda dengan Lincoln pada waktu itu yang masih kesulitan dalam berbicara.,nama
Ia memasuki dunia politik pada tahun 1832 saat ia berusia 23 tahun.,other
Ketika itu ia berusaha untuk dipilih menjadi anggota Dewan Perwakilan Rakyat Daerah negara bagian Illinois  di bagian barat-tengah Amerika.,other
Namun ia kalah dalam pemilihan  dua tahun kemudan ia berusaha kembali dan menang.,other
Setelah itu ia dipilih tiga kali berturut-turut setelahnya.,other
Lincoln memegang teguh perkataannya pasa saat itu  yaitu membebaskan perbudakan.,nama
Selama masa jabatannya di parlemen ia memperjuangkan untuk membebaskan perbudakan yang terjadi di wilayah Selatan.,other
Namun  Lincoln mendapat perlawanan keras dari perwakilan pihak Selatan yang merupakan daerah yang melakukan tindakan perbudakan.,nama
Para perwakilan dari Selatan berpendapat bahwa budak-budak itu adalah milik mereka  jika budak dihapus sama saja merampas hak-hak mereka.,nama
Walaupun begitu Lincoln tetap tegar dengan pendiriannya.,nama
Baginya argumen mereka itu hanya mengada-ada saja  bagaimana mungkin manusia disamakan dengan barang  dan dijadikan aset.,other
Lincoln sangat tidak setuju dengan argumen mereka tersebut.,nama
Pada tahun 1850-an  perbudakan masih legal di Amerika Serikat bagian selatan  namun telah umumnya dilarang di negara bagian utara  termasuk Illinois  yang asli 1818 Konstitusi melarang perbudakan  seperti yang dipersyaratkan oleh Northwest Ordonansi.,other
Senator Senior Stephen A. Douglas of Illinois telah dimasukkan kedaulatan rakyat dalam Undang-Undang.,other
Penyediaan Douglas  yang menentang Lincoln  pemukim tertentu memiliki hak untuk menentukan lokal apakah akan mengizinkan perbudakan di wilayah AS yang baru  daripada memiliki keputusan seperti dibatasi oleh Kongres nasional.,other
Artikel lain : .,other
Linconl mencalonkan diri sebagai Presiden.,nama
Pada tanggal 6 November 1860  Lincoln terpilih sebagai presiden ke-16 Amerika Serikat  mengalahkan Demokrat Stephen A. Douglas  John C. Breckinridge dari Demokrat Selatan  dan John Bell Uni Partai Konstitusi baru.,other
Ia adalah presiden pertama dari Partai Republik.,other
Kemenangannya ini ia dapat karena mendapat kekuatan dukungan di wilayah Utara dan Barat  tidak ada suara yang dilemparkan untuknya di 10 dari 15 negara budak Selatan  dan dia memenangkan hanya dua dari 996 kabupaten di seluruh negara-negara Selatan.,other
Warga Selatan banyak yang tidak mengakui bahwa Lincoln sebagai presiden Amerika Serikat.,nama
Satu bulan menjabat sebagai presiden  terjadi persitiwa perang saudara Amerika antara negara-negara bagian di Utara dan negara-negara bagian di Selatan pecah.,other
Walaupun ia membenci perang  Presiden Lincoln menerimanya sebagai satu-satunya jalan untuk menyelamatkan persatuan negara.,nama
Pada pertengahan perang saudara  Presiden Abraham Lincoln mengeluarkan Proklamasi Pembebasan yang mengubah hidup orang banyak di Amerika.,nama
Proklamasi tersebut menyatakan semua budak belian di negara-negara bagian ataupun daerah-daerah negara-negara bagian yang melawan Amerika Serikat akan bebas mulai 1 Januari 1863.,other
Proklamasi itu mencetuskan semangat semua orang yang memperjuangkan kebebasan  dan menjadi pendorong ke arah penghapusan perbudakan di seluruh Amerika Serikat.,other
